iter	Passed	Remaining
242	7242	7659
243	7277	7635
244	7304	7602
245	7329	7568
246	7358	7536
247	7384	7503
248	7424	7484
249	7460	7460
250	7486	7427
251	7516	7396
252	7544	7365
253	7577	7339
254	7611	7313
255	7639	7281
256	7666	7248
257	7692	7215
258	7721	7184
259	7748	7152
260	7790	7134
261	7831	7114
262	7868	7090
263	7896	7059
264	7935	7037
265	7969	7010
266	8015	6994
267	8044	6964
268	8074	6933
269	8104	6903
270	8132	6871
271	8159	6839
272	8187	6807
273	8197	6761
274	8226	6730
275	8255	6699
276	8270	6657
277	8298	6627
278	8326	6595
279	8351	6562
280	8381	6532
281	8408	6500
282	8419	6456
283	8450	6427
284	8478	6395
285	8505	6364
286	8540	6338
287	8574	6312
288	8600	6279
289	8629	6248
290	8657	6217
291	8684	6186
292	8715	6157
293	8742	6125
294	8771	6095
295	8802	6066
296	8835	6038
297	8861	6006
298	8887	5974
299	8914	5942
300	8944	5913
301	8975	5884
302	9002	5853
303	9029	5821
304	9055	5789
305	9094	5765
306	9121	5734
307	9153	5705
308	9180	5674
309	9214	5647
310	9241	5616
311	9273	5587
312	9285	5547
313	9312	5516
314	9342	5486
315	9368	5455
316	9395	5423
317	9427	5395
318	9455	5364
319	9481	5333
320	9507	5301
321	9533	5269
322	9562	5240
323	9590	5209
324	9620	5180
325	9649	5150
326	9674	5118
327	9701	5087
328	9733	5058
329	9759	5027
330	9797	5002
331	9824	4971
332	9852	4941
333	9893	4916
334	9922	4887
335	9951	4857
336	9983	4828
337	10022	4803
338	10049	4772
339	10077	4742
340	10089	4704
341	10118	4674
342	10145	4643
343	10199	4625
344	10227	4594
345	10264	4568
346	10293	4538
347	10322	4508
348	10349	4477
349	10368	4443
350	10402	4415
351	10439	4389
352	10478	4363
353	10513	4336
354	10543	4306
355	10570	4275
356	10597	4244
357	10641	4221
358	10675	4193
359	10705	4163
360	10731	4131
361	10760	4102
362	10789	4072
363	10815	4040
364	10840	4009
365	10869	3979
366	10897	3949
367	10926	3919
368	10952	3888
369	10981	3858
370	11010	3828
371	11039	3798
372	11076	3771
373	11104	3741
374	11132	3710
375	11163	3681
376	11189	3650
377	11218	3620
378	11254	3593
379	11285	3563
380	11323	3536
381	11352	3506
382	11380	3476
383	11414	3448
384	11443	3418
385	11460	3384
386	11486	3353
387	11527	3327
388	11558	3298
389	11583	3267
390	11613	3237
391	11648	3209
392	11678	3179
393	11713	3151
394	11742	3121
395	11770	3091
396	11796	3060
397	11824	3030
398	11858	3001
399	11882	2970
400	11911	2940
401	11939	2910
402	11969	2880
403	11999	2851
404	12028	2821
405	12059	2792
406	12091	2762
407	12126	2734
408	12153	2704
409	12180	2673
410	12207	2643
411	12236	2613
412	12264	2583
413	12290	2553
414	12315	2522
415	12343	2492
416	12371	2462
417	12399	2432
418	12423	2401
419	12451	2371
420	12478	2341
421	12514	2313
422	12542	2283
423	12571	2253
424	12599	2223
425	12629	2193
426	12658	2164
427	12697	2136
428	12729	2106
429	12759	2077
430	12789	2047
431	12819	2017
432	12850	1988
433	12878	1958
434	12903	1928
435	12929	1897
436	12979	1871
437	13008	1841
438	13036	1811
439	13065	1781
440	13102	1752
441	13132	1723
442	13176	1695
443	13203	1665
444	13233	1635
445	13260	1605
446	13292	1576
447	13327	1546
448	13354	1516
449	13383	1487
450	13411	1457
451	13453	1428
452	13482	1398
453	13508	1368
454	13535	1338
455	13561	1308
456	13591	1278
457	13619	1248
458	13646	1218
459	13672	1188
460	13698	1158
461	13735	1129
462	13765	1100
463	13792	1070
464	13844	1042
465	13875	1012
466	13903	982
467	13932	952
468	13980	924
469	14011	894
470	14039	864
471	14066	834
472	14093	804
473	14121	774
474	14150	744
475	14178	714
476	14215	685
477	14241	655
478	14269	625
479	14308	596
480	14337	566
481	14387	537
482	14418	507
483	14444	477
484	14478	447
485	14508	417
486	14535	388
487	14564	358
488	14591	328
489	14624	298
490	14686	269
491	14727	239
492	14754	209
493	14785	179
494	14810	149
495	14857	119
496	14884	89
497	14917	59
498	14945	29
499	14975	0
